"","ID","description","temp","sunset","sunrise","epochTime","code","city","date"
"3001","ce41e41c-bd15-11e8-9f18-02ec64aa7b9f","Cloudy",7,"7:38 pm","7:16 am",1537476198.72,"26","Edmonton",2018-09-20 14:43:18
"3002","5eb038ce-bcca-11e8-9280-0e43fa6a19cd","Partly Cloudy",3,"7:34 pm","7:15 am",1537443799.28,"29","Lethbridge",2018-09-20 05:43:19
"3003","331f133c-c0b8-11e8-82c4-bec39fd5beb4","Clear",2,"7:14 pm","7:13 am",1537875799.9,"31","Medicine Hat",2018-09-25 05:43:19
"3004","e905c1b4-acf9-11e8-b92e-529bbd3d25d4","Partly Cloudy",9,"8:27 pm","6:41 am",1535704999.11,"29","Edmonton",2018-08-31 02:43:19
"3005","c14233f0-afca-11e8-ba0f-228570ea1b01","Breezy",17,"8:3 pm","6:40 am",1536014599.54,"23","Medicine Hat",2018-09-03 16:43:19
"3006","5b9d6d22-bfb4-11e8-b297-aa7de8738351","Cloudy",4,"7:31 pm","7:21 am",1537764198.69,"26","Edmonton",2018-09-23 22:43:18
"3007","da3814a0-aae9-11e8-903f-36b368f482c1","Mostly Cloudy",14,"8:34 pm","6:36 am",1535478200,"28","Edmonton",2018-08-28 11:43:20
"3008","eae03d42-aec6-11e8-9349-2e1942d9ae2e","Mostly Cloudy",9,"8:21 pm","6:48 am",1535903000.21,"28","Red Deer",2018-09-02 09:43:20
"3009","d7cc8374-bca8-11e8-9280-0e43fa6a19cd","Mostly Cloudy",3,"7:39 pm","7:18 am",1537429399.58,"27","Red Deer",2018-09-20 01:43:19
"3010","845c5e56-ae0e-11e8-b15c-52d2c961a9b6","Breezy",12,"8:23 pm","6:46 am",1535823800.82,"23","Red Deer",2018-09-01 11:43:20
"3011","8b5b9440-baa9-11e8-ab8d-3e234d920b2e","Mostly Sunny",13,"7:41 pm","7:10 am",1537209798.51,"34","Lethbridge",2018-09-17 12:43:18
"3012","228f5a38-b657-11e8-9459-4a89ac53eb83","Rain",8,"7:58 pm","7:2 am",1536734599.3,"12","Edmonton",2018-09-12 00:43:19
"3013","993614f6-aa4a-11e8-a482-e23d0375db13","Cloudy",11,"8:34 pm","6:38 am",1535409800.96,"26","Red Deer",2018-08-27 16:43:20
"3014","7f4b1316-bc33-11e8-8f3a-1e0db882a773","Sunny",6,"7:40 pm","7:14 am",1537378999.98,"32","Edmonton",2018-09-19 11:43:19
"3015","4d7be89c-aa18-11e8-bc11-fe8c1293f210","Showers",7,"8:26 pm","6:39 am",1535388199.07,"11","Lethbridge",2018-08-27 10:43:19
"3016","27de337c-b8d4-11e8-b919-02fd58f15880","Cloudy",3,"7:51 pm","7:11 am",1537008197.63,"26","Calgary",2018-09-15 04:43:17
"3017","870c0fba-b9f9-11e8-a4fb-4e41101ef2ab","Cloudy",3,"7:48 pm","7:11 am",1537134199.85,"26","Red Deer",2018-09-16 15:43:19
"3018","6e91c8d2-b1d2-11e8-9868-52f41986eb6e","Clear",8,"7:56 pm","6:45 am",1536237799.11,"31","Medicine Hat",2018-09-06 06:43:19
"3019","22c68ed6-c192-11e8-ae7f-ea2112319526","Cloudy",7,"7:12 pm","7:15 am",1537969402.76,"26","Medicine Hat",2018-09-26 07:43:22
"3020","8573d4f6-beb0-11e8-b5e4-769102d74736","Cloudy",7,"7:21 pm","7:9 am",1537652599.73,"26","Medicine Hat",2018-09-22 15:43:19
"3021","63ac7a5c-bf47-11e8-90aa-124b4fe66148","Cloudy",1,"7:32 pm","7:24 am",1537717397.06,"26","Calgary",2018-09-23 09:43:17
"3022","4d3fc2e0-a9ff-11e8-8bc3-f25a815166f6","Mostly Cloudy",7,"8:36 pm","6:34 am",1535377461.26,"28","Edmonton",2018-08-27 07:44:21
"3023","07970334-be22-11e8-a840-92ea41d01169","Cloudy",-1,"7:35 pm","7:18 am",1537591400.03,"26","Edmonton",2018-09-21 22:43:20
"3024","f6533360-b3c0-11e8-a631-1e41d851fb68","Mostly Sunny",25,"8:0 pm","6:57 am",1536450198.25,"34","Lethbridge",2018-09-08 17:43:18
"3025","6b0842f8-aa9e-11e8-ab07-6af334ccfb8d","Mostly Cloudy",8,"8:32 pm","6:40 am",1535445801.21,"27","Red Deer",2018-08-28 02:43:21
"3026","d7f5aba8-b624-11e8-9d91-3a4116f5c9ff","Mostly Cloudy",12,"8:0 pm","7:0 am",1536712999.31,"28","Edmonton",2018-09-11 18:43:19
"3027","f7dc99c8-aa07-11e8-a3e6-f25a815166f6","Cloudy",6,"8:33 pm","6:42 am",1535381183.47,"26","Calgary",2018-08-27 08:46:23
"3028","c0078a68-c356-11e8-8f8b-924eb8b2cf9b","Cloudy",2,"7:18 pm","7:30 am",1538163799.11,"26","Edmonton",2018-09-28 13:43:19
"3029","9930a964-baec-11e8-9921-1a8cbe9b64fa","Mostly Clear",10,"7:41 pm","7:10 am",1537238598,"33","Lethbridge",2018-09-17 20:43:18
"3030","def28f0c-b3ea-11e8-a4f9-72f3a188cf1a","Mostly Cloudy",16,"8:0 pm","6:57 am",1536468197.9,"27","Lethbridge",2018-09-08 22:43:17
"3031","bc91b4d0-c473-11e8-ac7a-daaf0d411ee8","Mostly Clear",-3,"7:17 pm","7:33 am",1538286199.87,"33","Red Deer",2018-09-29 23:43:19
"3032","4e54b392-c13e-11e8-b9c4-0695ac9baeea","Partly Cloudy",8,"7:23 pm","7:22 am",1537933398.11,"29","Lethbridge",2018-09-25 21:43:18
"3033","665d9240-a967-11e8-bb97-8216dc676f58","Mostly Cloudy",16,"8:38 pm","6:32 am",1535312219.89,"28","Edmonton",2018-08-26 13:36:59
"3034","6d5d9b3e-beda-11e8-9d7d-62f3eb6f5f8f","Cloudy",6,"7:30 pm","7:18 am",1537670598.18,"26","Lethbridge",2018-09-22 20:43:18
"3035","6aaacab8-b973-11e8-aa46-36da5cdb06e7","Cloudy",1,"7:50 pm","7:7 am",1537076599.68,"26","Edmonton",2018-09-15 23:43:19
"3036","490f1a9e-b83d-11e8-b6ab-8ed058215a45","Mostly Cloudy",5,"7:47 pm","7:6 am",1536943399.3,"28","Lethbridge",2018-09-14 10:43:19
"3037","402a4ab0-c77f-11e8-ad31-c25a097bfbe8","Mostly Cloudy",2,"7:6 pm","7:39 am",1538620998.61,"28","Edmonton",2018-10-03 20:43:18
"3038","800e66ba-b77c-11e8-af0f-6236181e5cd3","Cloudy",0,"7:55 pm","7:4 am",1536860598.71,"26","Edmonton",2018-09-13 11:43:18
"3039","d280c7d4-b741-11e8-8ca0-ceda79ebd692","Cloudy",1,"7:55 pm","7:8 am",1536835396.72,"26","Calgary",2018-09-13 04:43:16
"3040","5ac0d72c-b596-11e8-848f-96017969637d","Mostly Cloudy",6,"8:0 pm","7:3 am",1536651800.71,"27","Red Deer",2018-09-11 01:43:20
"3041","9efe3664-acc7-11e8-bee3-faa132879c00","Partly Cloudy",16,"8:11 pm","6:34 am",1535683400.07,"30","Medicine Hat",2018-08-30 20:43:20
"3042","ae5930fc-c430-11e8-ae4f-de589e44333d","Cloudy",1,"7:16 pm","7:32 am",1538257399.74,"26","Edmonton",2018-09-29 15:43:19
"3043","685e1c84-b7a6-11e8-af0f-6236181e5cd3","Cloudy",2,"7:55 pm","7:8 am",1536878597.83,"26","Calgary",2018-09-13 16:43:17
"3044","e63923d6-c36f-11e8-8f8b-924eb8b2cf9b","Cloudy",6,"7:20 pm","7:31 am",1538174600.61,"26","Red Deer",2018-09-28 16:43:20
"3045","7cf4a4a0-bf1d-11e8-b2a6-22eccefa44fe","Cloudy",0,"7:32 pm","7:23 am",1537699400.62,"26","Red Deer",2018-09-23 04:43:20
